thr,nms_iou,min_aspect,nms_method,tp,fp,fn,precision,recall,f1
0.3,0.35,2.0,hard,788,179,267,0.8149,0.7469,0.7794
0.3,0.35,2.0,soft,812,3402,243,0.1927,0.7697,0.3082
0.3,0.35,2.5,hard,788,170,267,0.8225,0.7469,0.7829
0.3,0.35,2.5,soft,811,3370,244,0.194,0.7687,0.3098
0.3,0.35,3.0,hard,777,155,278,0.8337,0.7365,0.7821
0.3,0.35,3.0,soft,806,3268,249,0.1978,0.764,0.3143
0.3,0.4,2.0,hard,789,188,266,0.8076,0.7479,0.7766
0.3,0.4,2.0,soft,812,3402,243,0.1927,0.7697,0.3082
0.3,0.4,2.5,hard,789,179,266,0.8151,0.7479,0.78
0.3,0.4,2.5,soft,811,3370,244,0.194,0.7687,0.3098
0.3,0.4,3.0,hard,778,164,277,0.8259,0.7374,0.7792
0.3,0.4,3.0,soft,806,3268,249,0.1978,0.764,0.3143
0.3,0.45,2.0,hard,789,204,266,0.7946,0.7479,0.7705
0.3,0.45,2.0,soft,812,3402,243,0.1927,0.7697,0.3082
0.3,0.45,2.5,hard,789,195,266,0.8018,0.7479,0.7739
0.3,0.45,2.5,soft,811,3370,244,0.194,0.7687,0.3098
0.3,0.45,3.0,hard,778,180,277,0.8121,0.7374,0.773
0.3,0.45,3.0,soft,806,3268,249,0.1978,0.764,0.3143
0.3,0.5,2.0,hard,794,209,261,0.7916,0.7526,0.7716
0.3,0.5,2.0,soft,812,3402,243,0.1927,0.7697,0.3082
0.3,0.5,2.5,hard,794,200,261,0.7988,0.7526,0.775
0.3,0.5,2.5,soft,811,3370,244,0.194,0.7687,0.3098
0.3,0.5,3.0,hard,783,184,272,0.8097,0.7422,0.7745
0.3,0.5,3.0,soft,806,3268,249,0.1978,0.764,0.3143
0.3,0.55,2.0,hard,796,228,259,0.7773,0.7545,0.7658
0.3,0.55,2.0,soft,812,3402,243,0.1927,0.7697,0.3082
0.3,0.55,2.5,hard,796,218,259,0.785,0.7545,0.7695
0.3,0.55,2.5,soft,811,3370,244,0.194,0.7687,0.3098
0.3,0.55,3.0,hard,785,201,270,0.7961,0.7441,0.7692
0.3,0.55,3.0,soft,806,3268,249,0.1978,0.764,0.3143
0.35,0.35,2.0,hard,782,158,273,0.8319,0.7412,0.784
0.35,0.35,2.0,soft,806,3275,249,0.1975,0.764,0.3139
0.35,0.35,2.5,hard,782,150,273,0.8391,0.7412,0.7871
0.35,0.35,2.5,soft,805,3247,250,0.1987,0.763,0.3153
0.35,0.35,3.0,hard,771,135,284,0.851,0.7308,0.7863
0.35,0.35,3.0,soft,800,3147,255,0.2027,0.7583,0.3199
0.35,0.4,2.0,hard,783,165,272,0.8259,0.7422,0.7818
0.35,0.4,2.0,soft,806,3275,249,0.1975,0.764,0.3139
0.35,0.4,2.5,hard,783,157,272,0.833,0.7422,0.785
0.35,0.4,2.5,soft,805,3247,250,0.1987,0.763,0.3153
0.35,0.4,3.0,hard,772,142,283,0.8446,0.7318,0.7842
0.35,0.4,3.0,soft,800,3147,255,0.2027,0.7583,0.3199
0.35,0.45,2.0,hard,784,182,271,0.8116,0.7431,0.7759
0.35,0.45,2.0,soft,806,3275,249,0.1975,0.764,0.3139
0.35,0.45,2.5,hard,784,174,271,0.8184,0.7431,0.7789
0.35,0.45,2.5,soft,805,3247,250,0.1987,0.763,0.3153
0.35,0.45,3.0,hard,773,159,282,0.8294,0.7327,0.7781
0.35,0.45,3.0,soft,800,3147,255,0.2027,0.7583,0.3199
0.35,0.5,2.0,hard,788,187,267,0.8082,0.7469,0.7764
0.35,0.5,2.0,soft,806,3275,249,0.1975,0.764,0.3139
0.35,0.5,2.5,hard,788,179,267,0.8149,0.7469,0.7794
0.35,0.5,2.5,soft,805,3247,250,0.1987,0.763,0.3153
0.35,0.5,3.0,hard,777,163,278,0.8266,0.7365,0.7789
0.35,0.5,3.0,soft,800,3147,255,0.2027,0.7583,0.3199
0.35,0.55,2.0,hard,789,202,266,0.7962,0.7479,0.7713
0.35,0.55,2.0,soft,806,3275,249,0.1975,0.764,0.3139
0.35,0.55,2.5,hard,789,193,266,0.8035,0.7479,0.7747
0.35,0.55,2.5,soft,805,3247,250,0.1987,0.763,0.3153
0.35,0.55,3.0,hard,778,176,277,0.8155,0.7374,0.7745
0.35,0.55,3.0,soft,800,3147,255,0.2027,0.7583,0.3199
0.4,0.35,2.0,hard,775,151,280,0.8369,0.7346,0.7824
0.4,0.35,2.0,soft,799,3176,256,0.201,0.7573,0.3177
0.4,0.35,2.5,hard,775,143,280,0.8442,0.7346,0.7856
0.4,0.35,2.5,soft,798,3148,257,0.2022,0.7564,0.3191
0.4,0.35,3.0,hard,764,128,291,0.8565,0.7242,0.7848
0.4,0.35,3.0,soft,793,3049,262,0.2064,0.7517,0.3239
0.4,0.4,2.0,hard,775,157,280,0.8315,0.7346,0.7801
0.4,0.4,2.0,soft,799,3176,256,0.201,0.7573,0.3177
