epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,162.935,3.37886,2.6722,4.32781,0.08917,0.17244,0.1004,0.06602,0.01735,3.06559,2.35339,4.81443,0.01708,0.00162,0.00054,0.00162,0.00054,0.00162,0.00054,0.00162,0.00054
2,313.391,2.90998,2.1085,3.80524,0.05178,0.38165,0.37261,0.28675,0.06803,2.69902,2.11336,3.24869,0.01093,0.00326733,0.00108911,0.00326733,0.00108911,0.00326733,0.00108911,0.00326733,0.00108911
3,466.883,2.46538,1.72386,3.14421,0.03164,0.51582,0.6333,0.51906,0.17174,2.21035,1.80786,2.62642,0.00492,0.0048814,0.00162713,0.0048814,0.00162713,0.0048814,0.00162713,0.0048814,0.00162713
4,623.743,2.15128,1.46885,2.666,0.02126,0.60497,0.71414,0.65536,0.24496,2.10081,1.52504,2.315,0.00396,0.0058218,0.0019406,0.0058218,0.0019406,0.0058218,0.0019406,0.0058218,0.0019406
5,783.207,1.96258,1.32579,2.35489,0.01522,0.68333,0.74637,0.74721,0.27464,1.99078,1.36935,2.15731,0.00382,0.0057624,0.0019208,0.0057624,0.0019208,0.0057624,0.0019208,0.0057624,0.0019208
6,936.112,1.78675,1.18234,2.17734,0.01032,0.74224,0.74373,0.7908,0.38004,1.80441,1.16328,2.10781,0.00235,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901
7,1088.81,1.69341,1.11633,2.03386,0.01109,0.77078,0.75069,0.80406,0.37891,1.88929,1.10788,2.06728,0.00322,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
8,1240.58,1.6457,1.0713,1.97175,0.01013,0.8128,0.78071,0.82733,0.43987,1.65436,1.03566,2.02158,0.00192,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614
9,1392.7,1.55497,0.99831,1.87799,0.00837,0.82556,0.79397,0.84082,0.47871,1.55441,0.96584,1.92222,0.00171,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
10,1535.13,1.52947,1.00193,1.8722,0.00892,0.84331,0.83487,0.86823,0.48379,1.50146,0.91612,1.83043,0.00186,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218
11,1679.58,1.44833,0.96445,1.80613,0.00946,0.85258,0.83355,0.87299,0.49675,1.4448,0.89045,1.78849,0.0017,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
12,1828.48,1.39143,0.91944,1.77775,0.00847,0.88663,0.8265,0.8887,0.50925,1.40554,0.86751,1.74127,0.0017,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822
13,1972.51,1.41058,0.91292,1.75553,0.0084,0.85965,0.83355,0.88454,0.48102,1.50347,0.87377,1.69029,0.00261,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
14,2115.9,1.3779,0.90706,1.72461,0.00825,0.87683,0.84941,0.89389,0.54714,1.34387,0.82648,1.69301,0.0022,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426
15,2259.88,1.36015,0.8963,1.70238,0.0073,0.87718,0.84808,0.89726,0.5762,1.23906,0.80454,1.67118,0.00176,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
16,2403.56,1.30919,0.86841,1.6809,0.00713,0.87016,0.84412,0.90104,0.57779,1.23942,0.81672,1.64529,0.00172,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703
17,2549.26,1.27707,0.8505,1.66389,0.00656,0.86899,0.84993,0.89928,0.60195,1.16343,0.79479,1.61907,0.00127,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
18,2691.63,1.27722,0.85631,1.64382,0.00706,0.9107,0.83223,0.9105,0.59815,1.15018,0.78807,1.595,0.00124,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634
19,2833.62,1.2832,0.8579,1.64245,0.00698,0.87813,0.84713,0.90497,0.55272,1.25038,0.81707,1.57307,0.00168,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
20,2976.05,1.25389,0.83251,1.59925,0.00674,0.88777,0.83594,0.90709,0.60109,1.1563,0.7767,1.52936,0.00191,0.0048714,0.0016238,0.0048714,0.0016238,0.0048714,0.0016238,0.0048714,0.0016238
21,3120.64,1.20836,0.80827,1.5882,0.00644,0.89608,0.84289,0.90768,0.56972,1.23012,0.78631,1.55038,0.00173,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
22,3263.74,1.24069,0.82195,1.5844,0.00629,0.90344,0.84148,0.9152,0.63452,1.09052,0.75037,1.53306,0.00165,0.0047526,0.0015842,0.0047526,0.0015842,0.0047526,0.0015842,0.0047526,0.0015842
23,3408.6,1.19744,0.81039,1.55859,0.00609,0.90897,0.83355,0.91255,0.5452,1.38211,0.80056,1.50127,0.0026,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
24,3548.79,1.21782,0.81622,1.56502,0.00622,0.87406,0.86181,0.91624,0.63619,1.06189,0.75352,1.47825,0.00149,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446
